,id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
41,2581827301,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-47m2-venda-RS550000-id-2581827301/,"Apartamento com Quarto à Venda, 47m²","Rua Major Quedinho, 224 - Bela Vista, São Paulo - SP",47,1 Quarto,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Varanda
Academia
Espaço gourmet
...",R$ 550.000,R$ 700,Bela Vista,2023-09-17 16:58
42,2648451078,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-25m2-venda-RS366000-id-2648451078/,"Apartamento com Quarto à Venda, 25m²","Rua Almirante Marques de Leão, 730 - Bela Vista, São Paulo - SP",25,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 366.000,R$ 250,Bela Vista,2023-09-17 16:58
43,2621270825,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-50m2-venda-RS550000-id-2621270825/,"Apartamento com Quarto à Venda, 50m²","Praça General Craveiro Lopes - Bela Vista, São Paulo - SP",50,1 Quarto,2 Banheiros,-- Vaga,"Varanda
Perto de vias de acesso
Perto de hospitais
Perto de shopping
Cozinha
...",R$ 550.000,R$ 600,Bela Vista,2023-09-17 16:58
44,2589358282,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-62m2-venda-RS850000-id-2589358282/,Apartamento com 2 Quartos à Venda/Aluguel 62m²,"Rua Carlos Sampaio, 201 - Bela Vista, São Paulo - SP",62,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Elevador
Academia
Ar-condicionado
...",R$ 850.000,R$ 1.400,Bela Vista,2023-09-17 16:58
45,2648151356,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-33m2-venda-RS560000-id-2648151356/,Apartamento com Quarto para Venda/Aluguel 33m²,"Rua Dona Antônia de Queirós - Bela Vista, São Paulo - SP",33,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Elevador
Varanda
Aceita animais
...",R$ 560.000,R$ 801,Bela Vista,2023-09-17 16:58
46,2646833155,https://www.vivareal.com.br/imovel/apartamento-4-quartos-bela-vista-centro-sao-paulo-com-garagem-292m2-venda-RS3000000-id-2646833155/,Apartamento com 4 Quartos para Venda/Aluguel 292m²,"Rua Cincinato Braga, 511 - Bela Vista, São Paulo - SP",292,4 Quartos,2 Banheiros,2 Vagas,,R$ 3.000.000,R$ 2.640,Bela Vista,2023-09-17 16:58
47,2654068163,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bela-vista-centro-sao-paulo-com-garagem-266m2-venda-RS2199990-id-2654068163/,"Apartamento com 3 Quartos à Venda, 266m²","Rua Cincinato Braga, 535 - Bela Vista, São Paulo - SP",266,3 Quartos,2 Banheiros,1 Vaga,"Playground
Salão de jogos
Salão de festas
Área de serviço",R$ 2.199.990,R$ 2.300,Bela Vista,2023-09-17 16:58
48,2611603498,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-38m2-venda-RS370000-id-2611603498/,"Apartamento com Quarto à Venda, 38m²","Rua Major Diogo, 39 - Bela Vista, São Paulo - SP",38,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Elevador
Garagem
Ar-condicionado
...",R$ 370.000,R$ 750,Bela Vista,2023-09-17 16:58
49,2577755549,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-55m2-venda-RS650000-id-2577755549/,"Apartamento com 2 Quartos à Venda, 55m²","Rua Genebra, 296 - Bela Vista, São Paulo - SP",55,2 Quartos,1 Banheiro,1 Vaga,"Churrasqueira
Elevador
Condomínio fechado
Academia
Aceita animais
...",R$ 650.000,R$ 650,Bela Vista,2023-09-17 16:58
50,2581071765,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-131m2-venda-RS1450000-id-2581071765/,"Apartamento com 2 Quartos à Venda, 131m²","Rua Cincinato Braga - Bela Vista, São Paulo - SP",131,2 Quartos,2 Banheiros,1 Vaga,"Mobiliado
Churrasqueira
Elevador
Jardim
Salão de festas
...",R$ 1.450.000,R$ 1.385,Bela Vista,2023-09-17 16:58
51,2601034951,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bela-vista-centro-sao-paulo-com-garagem-118m2-venda-RS900000-id-2601034951/,"Apartamento com 3 Quartos à Venda, 118m²","Rua Artur Prado, 75 - Bela Vista, São Paulo - SP",118,3 Quartos,3 Banheiros,1 Vaga,"Elevador
Jardim
Área de serviço
Salão de festas
Perto de vias de acesso
...",R$ 900.000,R$ 1.165,Bela Vista,2023-09-17 16:58
52,2640112262,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-40m2-venda-RS510000-id-2640112262/,"Apartamento com Quarto à Venda, 40m²","Rua Doutor Seng - Bela Vista, São Paulo - SP",40,1 Quarto,1 Banheiro,1 Vaga,,R$ 510.000,R$ 1.029,Bela Vista,2023-09-17 16:58
53,2595242890,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-42m2-venda-RS430000-id-2595242890/,"Apartamento com Quarto à Venda, 42m²","Rua Doutor Seng, 315 - Bela Vista, São Paulo - SP",42,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Churrasqueira
Academia
Espaço gourmet
Jardim
...",R$ 430.000,R$ 882,Bela Vista,2023-09-17 16:58
54,2645303382,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bela-vista-centro-sao-paulo-137m2-venda-RS775000-id-2645303382/,"Apartamento com 3 Quartos à Venda, 137m²","Avenida Brigadeiro Luís Antônio, 469 - Bela Vista, São Paulo - SP",137,3 Quartos,3 Banheiros,-- Vaga,"Elevador
Varanda
Aceita animais
Armário na cozinha
Cozinha
...",R$ 775.000,R$ 1.150,Bela Vista,2023-09-17 16:58
55,2527504616,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-48m2-venda-RS650000-id-2527504616/,"Apartamento com Quarto à Venda, 48m²","Rua Itapeva, 636 - Bela Vista, São Paulo - SP",48,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Elevador
Academia
Garagem
...",R$ 650.000,R$ 1.450,Bela Vista,2023-09-17 16:58
56,2655817859,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-65m2-venda-RS1399990-id-2655817859/,"Apartamento com Quarto à Venda, 65m²","Alameda Rio Claro, 95 - Bela Vista, São Paulo - SP",65,1 Quarto,2 Banheiros,1 Vaga,"Playground
Salão de festas
Área de serviço",R$ 1.399.990,R$ 946,Bela Vista,2023-09-17 16:58
